idx,ts,truth_ts,obs_target_yaw_deg,obs_gimbal_yaw_deg,obs_err_yaw_deg,truth_target_yaw_deg,truth_gimbal_yaw_deg,truth_err_yaw_deg,target_yaw_rate_dps,gimbal_yaw_rate_dps,detected,u_px,cx_px,f_px,yaw_rate_cmd_dps
10,1.9149999999999812,1.9149999999999812,5.750156505854818,2.9091840160812636,2.8409724897735487,5.744789098401981,2.9091840160812636,2.8356050823207113,-7.930546632633366,-38.66148588836075,1,399.4,320.0,1600.0,-59.00384460832307
11,1.9549999999999803,1.9549999999999803,5.418748054856394,1.329059514272008,4.089688540584376,5.420312118623837,1.329059514272008,4.091252604351837,-8.289996037875918,-39.89552358936443,1,434.4,320.0,1600.0,-9.932042638841352
12,1.9949999999999795,1.9949999999999795,5.089797647878328,-0.14175978504010323,5.231557432918436,5.081860918805594,-0.14175978504010323,5.223620703845711,-8.629083934733952,-22.42798054705958,1,466.5,320.0,1600.0,40.20491503749787
13,2.034999999999979,2.034999999999979,4.722148832824587,-0.5094086000938339,5.231557432918407,4.730270540905842,-0.5094086000938339,5.2396791409996695,-8.946788011733961,7.59019710333017,1,466.5,320.0,1600.0,60.0
14,2.074999999999978,2.074999999999978,4.366713692416994,0.33284579048855456,4.033867901928431,4.366416064477917,0.33284579048855456,4.033570273989369,-9.242129768934896,30.299301597837207,1,432.8333333333333,320.0,1600.0,60.0
15,2.114999999999977,2.114999999999977,3.9928128817934123,1.7558338183557183,2.236979063437701,3.9912107250659563,1.7558338183557183,2.235376906710229,-9.514180995063205,37.36090562219798,1,382.5,320.0,1600.0,60.0
16,2.1549999999999763,2.1549999999999763,3.5978196135182543,3.293438648313232,0.3043809652050129,3.6056037718510923,3.293438648313232,0.3121651235378522,-9.762070309212188,39.19948979192827,1,328.5,320.0,1600.0,53.35708805652769
17,2.1949999999999754,2.1949999999999754,3.2122701064535306,4.876960122299936,-1.6646900158464177,3.2105780642511625,4.876960122299936,-1.6663820580487823,-9.984989651727235,38.24580863784683,1,273.5,320.0,1600.0,14.343759028701914
18,2.2349999999999746,2.2349999999999746,2.804182102396396,6.263298503755012,-3.4591164013586138,2.807147411903556,6.263298503755012,-3.456151091851467,-10.18220060381918,23.02816212479508,1,223.28571428571428,320.0,1600.0,-32.10882352788196
19,2.2749999999999737,2.2749999999999737,2.397261090552263,6.736264535478077,-4.339003444925822,2.3963536673303443,6.736264535478077,-4.33991086814774,-10.353040413427534,-3.9036955247127447,1,198.6,320.0,1600.0,-60.0
