idx,ts,truth_ts,obs_target_yaw_deg,obs_gimbal_yaw_deg,obs_err_yaw_deg,truth_target_yaw_deg,truth_gimbal_yaw_deg,truth_err_yaw_deg,target_yaw_rate_dps,gimbal_yaw_rate_dps,detected,u_px,cx_px,f_px,yaw_rate_cmd_dps
53,3.6349999999999447,3.6349999999999447,-6.365010972106404,-3.9731090008795524,-2.3919019712268437,-6.370731903608173,-3.9731090008795524,-2.397622902728614,0.8538066140919407,-35.54846572961511,1,253.16666666666666,320.0,1600.0,-60.0
54,3.674999999999944,3.674999999999944,-6.339580324616378,-5.438439770521595,-0.9011405540947806,-6.336450024871147,-5.438439770521595,-0.8980102543495434,0.8595801750712744,-37.43689136658796,1,294.8333333333333,320.0,1600.0,-60.0
55,3.714999999999943,3.714999999999943,-6.308739039426769,-6.974772474622607,0.6660334351958284,-6.301937168441096,-6.974772474622607,0.6728353061814971,0.8653554028895228,-39.143817098078266,1,338.6,320.0,1600.0,-60.0
56,3.754999999999942,3.754999999999942,-6.267925214603565,-8.576411362539185,2.3084861479356107,-6.2671932678279205,-8.576411362539185,2.3092180947112695,0.8711322881792954,-40.72067031345287,1,384.5,320.0,1600.0,-60.0
57,3.7949999999999413,3.7949999999999413,-6.240176651999917,-10.238410341389168,3.9982336893892523,-6.232218256924828,-10.238410341389168,4.006192084464345,0.8769108211522122,-42.17827909230928,1,431.8333333333333,320.0,1600.0,-60.0
58,3.8349999999999405,3.8349999999999405,-6.192434526726942,-11.956205676534568,5.7637711498076385,-6.197012070025241,-11.956205676534568,5.759193606509314,0.8826909915956286,-43.525685078696924,1,481.5,320.0,1600.0,-60.0
59,3.8749999999999396,3.8749999999999396,-6.160257826434133,-13.725578894866416,7.565321068432297,-6.161574641839835,-13.725578894866416,7.564004253026582,0.8884727888693573,-44.77122081310383,1,532.5,320.0,1600.0,60.0
60,3.9149999999999388,3.9149999999999388,-6.119969056595949,-15.324933122234592,9.204964065638649,-6.125905907513707,-15.324933122234592,9.1990272147209,0.8942562019023885,-17.615394427437305,1,579.2857142857143,320.0,1600.0,60.0
61,3.954999999999938,3.954999999999938,-6.093922319234281,-14.64219806097018,8.548275741735893,-6.090005802643676,-14.64219806097018,8.5521922583265,0.9000412191896076,30.949893646535514,1,560.5,320.0,1600.0,60.0
62,3.994999999999937,3.994999999999937,-6.0554120469905115,-13.286180695115242,7.230768648124723,-6.053874263295709,-13.286180695115242,7.232306431819524,0.9058278287885109,35.19531296278391,1,523.0,320.0,1600.0,60.0
63,4.034999999999936,4.034999999999936,-6.016956250846022,-11.833895451051516,5.816939200205496,-6.0175112260224966,-11.833895451051516,5.816384225029026,0.9116160183159189,37.12468238693003,1,483.0,320.0,1600.0,60.0
64,4.074999999999935,4.074999999999935,-5.984740226535024,-10.309501449415308,4.324761222880284,-5.980916627881132,-10.309501449415308,4.328584821534179,0.9174057749446882,38.85558808179407,1,441.0,320.0,1600.0,60.0
65,4.1149999999999345,4.1149999999999345,-5.945798528080218,-8.718895464719958,2.773096936639746,-5.944090406450949,-8.718895464719958,2.77480505826901,0.9231970854004238,40.454242665995785,1,397.5,320.0,1600.0,60.0
66,4.154999999999934,4.154999999999934,-5.911105066097406,-7.067095165931999,1.1559900998345825,-5.907032499851473,-7.067095165931999,1.1600626660805347,0.9289899359581876,41.931994889725225,1,352.2857142857143,320.0,1600.0,60.0
67,4.194999999999933,4.194999999999933,-5.874375533854305,-5.358727440434361,-0.5156480934199408,-5.869742846760513,-5.358727440434361,-0.5110154063261518,0.9347843124392079,43.29802112768692,1,305.6,320.0,1600.0,60.0
68,4.234999999999932,4.234999999999932,-5.83504812347536,-3.5980690600376692,-2.236979063437701,-5.832221386432377,-3.5980690600376692,-2.2341523263947067,0.9405802002075888,44.56076932832665,1,257.5,320.0,1600.0,-7.6435619769727
69,4.274999999999931,4.274999999999931,-5.791563746630146,-1.9923439235478002,-3.7992198230823533,-5.794468058716236,-1.9923439235478002,-3.802124135168441,0.9463775841670186,20.279823963197305,1,213.75,320.0,1600.0,-7.6435619769727
70,4.31499999999993,4.31499999999993,-5.757425169532183,-1.7473130636937808,-4.010112105838402,-5.756482804074594,-1.7473130636937808,-4.009169740380798,0.9521764487574781,2.5645591191309594,1,207.83333333333334,320.0,1600.0,-7.6435619769727
71,4.354999999999929,4.354999999999929,-5.727637327844008,-1.6759534900155582,-4.051683837828449,-5.718265563601914,-1.6759534900155582,-4.042312073586345,0.9579767779519512,1.3814202139941014,1,206.66666666666666,320.0,1600.0,-60.0
72,4.3949999999999285,4.3949999999999285,-5.67460631572493,-1.7595311244367196,-3.9150751912882242,-5.679816279043359,-1.7595311244367196,-3.9202851546066313,0.9637785552531337,-15.290878314894849,1,210.5,320.0,1600.0,-60.0
