idx,ts,truth_ts,obs_target_yaw_deg,obs_gimbal_yaw_deg,obs_err_yaw_deg,truth_target_yaw_deg,truth_gimbal_yaw_deg,truth_err_yaw_deg,target_yaw_rate_dps,gimbal_yaw_rate_dps,detected,u_px,cx_px,f_px,yaw_rate_cmd_dps
54,3.674999999999944,3.674999999999944,-6.3444003097355335,-11.907225219867515,5.5628249101319795,-6.336450024871147,-11.907225219867515,5.570775194996372,0.8595801750712744,-21.268759399926935,1,475.8333333333333,320.0,1600.0,35.036152758279094
55,3.714999999999943,3.714999999999943,-6.304333751722652,-12.308546331254995,6.00421257953235,-6.301937168441096,-12.308546331254995,6.006609162813902,0.8653554028895228,4.912906990966094,1,488.2857142857143,320.0,1600.0,60.0
56,3.754999999999942,3.754999999999942,-6.269447916996654,-11.65485308313603,5.385405166139378,-6.2671932678279205,-11.65485308313603,5.387659815308098,0.8711322881792954,26.600337265968385,1,470.8333333333333,320.0,1600.0,60.0
57,3.7949999999999413,3.7949999999999413,-6.231933059447272,-10.337059982777522,4.1051269233302605,-6.232218256924828,-10.337059982777522,4.10484172585268,0.8769108211522122,35.037834441633954,1,434.8333333333333,320.0,1600.0,60.0
58,3.8349999999999405,3.8349999999999405,-6.1893538184880015,-8.887421350909623,2.698067532421618,-6.197012070025241,-8.887421350909623,2.6904092808843814,0.8826909915956286,37.08095271367352,1,395.4,320.0,1600.0,60.0
59,3.8749999999999396,3.8749999999999396,-6.165157017384388,-7.36461214948135,1.199455132096972,-6.161574641839835,-7.36461214948135,1.2030375076415112,0.8884727888693573,38.817849361930904,1,353.5,320.0,1600.0,60.0
60,3.9149999999999388,3.9149999999999388,-6.127574308261444,-5.775448430039531,-0.3521258782219263,-6.125905907513707,-5.775448430039531,-0.35045747747417977,0.8942562019023885,40.419427947396066,1,310.1666666666667,320.0,1600.0,60.0
61,3.954999999999938,3.954999999999938,-6.093747962132198,-4.1249807556084095,-1.9687672065237791,-6.090005802643676,-4.1249807556084095,-1.9650250470352546,0.9000412191896076,41.89981419349798,1,265.0,320.0,1600.0,60.0
62,3.994999999999937,3.994999999999937,-6.051248527917494,-2.4178448860079964,-3.6334036419094957,-6.053874263295709,-2.4178448860079964,-3.636029377287713,0.9058278287885109,43.26827349271905,1,218.4,320.0,1600.0,30.08141385173125
63,4.034999999999936,4.034999999999936,-6.013534402327679,-0.7500176796270145,-5.263516722700672,-6.0175112260224966,-0.7500176796270145,-5.267493546395485,0.9116160183159189,33.14016629849313,1,172.6,320.0,1600.0,-11.797255210510361
64,4.074999999999935,4.074999999999935,-5.97173581857092,0.21709335968954424,-6.188829178260477,-5.980916627881132,0.21709335968954424,-6.1980099875706856,0.9174057749446882,10.188478842679457,1,146.5,320.0,1600.0,-54.01073849820046
