idx,ts,truth_ts,obs_target_yaw_deg,obs_gimbal_yaw_deg,obs_err_yaw_deg,truth_target_yaw_deg,truth_gimbal_yaw_deg,truth_err_yaw_deg,target_yaw_rate_dps,gimbal_yaw_rate_dps,detected,u_px,cx_px,f_px,yaw_rate_cmd_dps
12,1.9949999999999795,1.9949999999999795,-5.715851788880002,-5.945033684634099,0.22918189575409542,-5.717684111524946,-5.945033684634099,0.2273495731091657,1.4181772388485807,-11.761541065274818,1,326.4,320.0,1600.0,7.039999999999975
13,2.034999999999979,2.034999999999979,-5.6639499860884825,-6.290597586920882,0.6266476008323991,-5.660951416529606,-6.290597586920882,0.6296461703912826,1.4184570611946326,-2.6316931822122633,1,337.5,320.0,1600.0,19.25
14,2.074999999999978,2.074999999999978,-5.609447500559469,-6.2002892825025135,0.5908417819430554,-5.604207582628966,-6.2002892825025135,0.5960816998735368,1.418734183572805,7.011134697373444,1,336.5,320.0,1600.0,18.150000000000002
15,2.114999999999977,2.114999999999977,-5.550012998675641,-5.806648628132597,0.2566356294569516,-5.54745271788644,-5.806648628132597,0.25919591024614874,1.419008602753127,10.393986592949306,1,327.1666666666667,320.0,1600.0,7.883333333333355
16,2.1549999999999763,2.1549999999999763,-5.486378844884513,-5.414759157795066,-0.0716196870894521,-5.4906869304940455,-5.414759157795066,-0.0759277726989751,1.4192803155352567,6.897607854176672,1,318.0,320.0,1600.0,-2.2
17,2.1949999999999754,2.1949999999999754,-5.430400428445978,-5.245383450189111,-0.18501697825686847,-5.433910328771224,-5.245383450189111,-0.1885268785821097,1.4195493187485728,0.8036595743227553,1,314.8333333333333,320.0,1600.0,-5.683333333333355
18,2.2349999999999746,2.2349999999999746,-5.372562719099051,-5.306911333805609,-0.0656513852934495,-5.377123021163641,-5.306911333805609,-0.0702116873580394,1.4198156092522678,-3.093922832988624,1,318.1666666666667,320.0,1600.0,0.0
19,2.2749999999999737,2.2749999999999737,-5.320605963459684,-5.445940281230032,0.12533431777035275,-5.320325116242002,-5.445940281230032,0.1256151649880337,1.420079183935436,-1.975801289283555,1,323.5,320.0,1600.0,3.8500000000000005
20,2.314999999999973,2.314999999999973,-5.263171648016254,-5.4677985619821206,0.20462691396585342,-5.263516722700845,-5.4677985619821206,0.20428183928126487,1.4203400397171644,0.9038324806862805,1,325.7142857142857,320.0,1600.0,6.285714285714295
21,2.354999999999972,2.354999999999972,-5.204048851962511,-5.389065830219385,0.18501697825686847,-5.206697949357346,-5.389065830219385,0.1823678808620457,1.4205981735466229,2.9589832503541307,1,325.1666666666667,320.0,1600.0,5.683333333333355
22,2.394999999999971,2.394999999999971,-5.146267141483776,-5.24772831164924,0.10146117016546441,-5.149868905150108,-5.24772831164924,0.09785940649913982,1.4208535824031503,3.556355489617492,1,322.8333333333333,320.0,1600.0,3.1166666666666463
23,2.4349999999999703,2.4349999999999703,-5.095799942924572,-5.1137048734395725,0.017904930514987427,-5.093029699137958,-5.1137048734395725,0.020675174301601373,1.421106263296343,2.618568531657166,1,320.5,320.0,1600.0,-60.0
24,2.4749999999999694,2.4749999999999694,-5.0377618201284236,-5.154143712201575,0.11638189207315008,-5.036180440498732,-5.154143712201575,0.11796327170284826,1.4213562132661417,-14.392897397555638,1,323.25,320.0,1600.0,-60.0
25,2.5149999999999686,2.5149999999999686,-4.980561305860533,-6.47400581579562,1.493444509935074,-4.979321238528061,-6.47400581579562,1.4946845772675488,1.4216034293829152,-39.09927077985984,1,361.7142857142857,320.0,1600.0,-60.0
26,2.5549999999999677,2.5549999999999677,-4.924107668806414,-8.0977044739095,3.173596805103074,-4.922452202638148,-8.0977044739095,3.175252271271347,1.4218479087475486,-41.39522159011779,1,408.7142857142857,320.0,1600.0,60.0
27,2.594999999999967,2.594999999999967,-4.867113485202196,-9.57444266101259,4.707329175810401,-4.865573442356552,-9.57444266101259,4.708869218656048,1.4220896484915246,-15.290627671801271,1,451.75,320.0,1600.0,60.0
